카바(KAVA)는 모든 암호화폐를 위한 _ _ _  _ _ _ 을 만들고자 한다.,,,,,,,,,,,,디파이 플랫폼,,참조 링크,,,,,,,,,,,
"카바(KAVA)는 BTC, XRP, 그리고 ATOM과 같은 다양한 암호 화폐들을 담보로 _ _ _ 를 만들 수 있다.",,,,,,,,,,,,CDP,,https://www.kava.io/,,,,,,,,,,,
"카바(KAVA)를 통해, 사용자들은 다양한 암호 화폐를 담보로 하여 생성한 CDP를 기반으로 한  _ _ _ _ 라 불리는 스테이블 코인을 대출 받을 수 있다.",,,,,,,,,,,,USDX,,https://docsend.com/view/gwbwpc3,,,,,,,,,,,
"사용자들은 카바(KAVA) 시스템에서 맡겨놨던 담보를 찾으려면, 원래의 부채와 함께, _ _ _  _ _ _ 를 함께 지불하여 담보를 되찾을 수 있다.",,,,,,,,,,,,안정화 수수료,,https://medium.com/@kavakorea,,,,,,,,,,,
"사용자의 CDP에 담보로 잡았던 암호 화폐의 가치가 떨어져, 부채 대비 담보의 가치가 일정 이하로 떨어지게 되면, 카바(KAVA)의 시스템은 자동적으로 해당 CDP를 _ _ 할 수 있다.",,,,,,,,,,,,청산,,https://medium.com/kava-labs,,,,,,,,,,,
"카바(KAVA)는 CDP를 청산 할 때, _ _ 를 통해 진행한다.",,,,,,,,,,,,경매,,https://research.binance.com/projects/kava,,,,,,,,,,,
"카바(KAVA)에서 사용자들이 자신의 부채와 안정화 수수료를 지불하여 담보를 되찾는 경우, 해당 CDP를 통해 발행됐던 USDX는 _ _ 된다.",,,,,,,,,,,,소각,,https://twitter.com/kava_labs/,,,,,,,,,,,
카바(KAVA) 홀더들은 카바 블록체인에 대한 변경 제안과 같은 안건에 _ _ 할 수 있다.,,,,,,,,,,,,투표,,https://www.crunchbase.com/organization/kava-labs#section-overview,,,,,,,,,,,
카바(KAVA)에서 사용자들은 자신들의 투표 권리를 검증자(트랜잭션 검증을 담당하는 카바 네트워크의 노드들)들에게 _ _ 할 수 있다.,,,,,,,,,,,,투표,,,,,,,,,,,,,
카바(KAVA)의 블록체인은  _ _ _ _ (혹은 _ _ _ ) 합의 메커니즘을 사용한다. ,,,,,,,,,,,,지분증명/POS,,,,,,,,,,,,,
카바(KAVA) 토큰을 통해 사용자들은 _ _ _ _ 하여 이자를 받을 수 있다.,,,,,,,,,,,,스테이킹,,,,,,,,,,,,,
카바(KAVA)를 얼마나 스테이킹 하느냐에 따라서 _ % 에서 _ _ % 까지 연 이자율의 이자를 받을 수 있다.,,,,,,,,,,,,3 / 20,,,,,,,,,,,,,
카바(KAVA)에서 사용자들은 자신들의 투표 권리를 검증자(트랜잭션 검증을 담당하는 카바 네트워크의 노드들)들에게 _ _ 할 수 있다.,,,,,,,,,,,,위임,,문제 양식,,,,,,,,,,,
"카바(KAVA) 홀더가 자신의 투표 권리를 검증자들에게 위임한 경우, 트랜잭션으로 부터 발생한 _ _ _ 를 얻을 수 있다.",,,,,,,,,,,,수수료,,"2020년 5월 일

Q1. 

- 참조 링크

https://www.kava.io/
https://docsend.com/view/gwbwpc3
https://medium.com/@kavakorea
https://medium.com/kava-labs
https://research.binance.com/projects/kava
https://twitter.com/kava_labs/
https://www.crunchbase.com/organization/kava-labs#section-overview

- 카바 AMA 및 퀴즈 이벤트 보러가기
AMA Archive 보러가기 -> https://t.me/kava_korea/13709

- 카바 커뮤니티 이벤트 보러가기
https://t.me/kava_korea/18659",,,,,,,,,,,
"카바(KAVA) 홀더가 자신의 투표 권리를 검증자들에게 위임한 경우, 트랜잭션 수수료와 더불어, 사용자들이 자신의 CDP 를 종료할 때, 지불하는 _ _ _  _ _ _ 를 통해 수익을 낼 수 있다.",,,,,,,,,,,,안정화 수수료,,문제 3개 (Ctrl+r),,,,,,,,,,,
